GEOID,year,black_wealth_index,latino_wealth_index,white_wealth_index,black_white_gap,latino_white_gap
24003701103,2016,0.631000543135156,1.61522704469814,1.13530617046932,-0.504305627334169,0.479920874228819
24003701103,2017,0.439245827377003,0.687130398584084,1.16967726895556,-0.730431441578558,-0.482546870371477
24003701103,2018,0.35239338231811,0.0714882017239515,1.2358974617778,-0.883504079459686,-1.16440926005385
24003701103,2019,0.285809447637043,0.0503043071582045,1.32122094194151,-1.03541149430447,-1.27091663478331
24003701103,2020,,-0.558271860970522,2.05299112783126,,-2.61126298880179
24003701103,2021,,-0.760444438136774,1.98408746834744,,-2.74453190648422
24003701103,2022,1.91058482904294,0.462683387799431,2.01444306621898,-0.10385823717604,-1.55175967841955
24003701103,2023,1.91030474106236,0.967254767464662,2.06213852026919,-0.151833779206836,-1.09488375280453
24003701104,2014,-0.384465528624506,1.61281973172377,1.24634951674037,-1.63081504536488,0.366470214983393
24003701104,2015,0.136116403236804,1.45763799321231,1.10967339195482,-0.973556988718017,0.347964601257492
24003701104,2016,0.631000543135156,1.61522704469814,1.13530617046933,-0.50430562733417,0.479920874228818
24003701104,2017,0.439245827377003,0.687130398584083,1.16967726895556,-0.730431441578558,-0.482546870371478
24003701104,2018,0.35239338231811,0.071488201723951,1.2358974617778,-0.883504079459687,-1.16440926005385
24003701104,2019,0.285809447637043,0.0503043071582043,1.32122094194151,-1.03541149430447,-1.27091663478331
24003701104,2020,0.296394386130507,1.63474613505463,0.909822899634269,-0.613428513503762,0.724923235420363
24003701104,2021,0.296394386130507,1.31050255177339,0.941221490785528,-0.644827104655021,0.369281060987861
24003701104,2022,0.118880427659521,0.79204983409669,1.04419363829741,-0.925313210637887,-0.252143804200717
24003701104,2023,-0.176215085491291,0.411331514282122,0.969130105341026,-1.14534519083232,-0.557798591058903
24003701201,2014,2.48588554116789,1.68553137983785,2.0104237171784,0.475461823989497,-0.324892337340543
24003701201,2015,2.48588554116789,2.15034019837324,2.08397876663916,0.40190677452873,0.0663614317340793
24003701201,2016,2.48588554116789,1.53631504727283,2.09371403883688,0.39217150233101,-0.557398991564057
24003701201,2017,-0.584387859836562,1.3915634475937,2.19248324553073,-2.77687110536729,-0.800919797937027
24003701201,2018,-0.584387859836562,,2.14821696803668,-2.73260482787324,
24003701201,2019,0.432880222215946,2.48588554116789,2.09890270913739,-1.66602248692144,0.386982832030506
24003701201,2020,0.824137176851526,,2.09326402331478,-1.26912684646326,
24003701201,2021,0.824137176851526,,2.14686193246333,-1.32272475561181,
24003701201,2022,,2.48588554116789,2.08052745377994,,0.405358087387952
24003701201,2023,-0.438942912268954,2.48588554116789,2.17893525842161,-2.61787817069056,0.306950282746286
24003701202,2014,2.48588554116789,1.68553137983785,2.0104237171784,0.475461823989496,-0.324892337340544
24003701202,2015,2.48588554116789,2.15034019837324,2.08397876663916,0.401906774528729,0.0663614317340784
24003701202,2016,2.48588554116789,1.53631504727283,2.09371403883688,0.392171502331009,-0.557398991564058
24003701202,2017,-0.584387859836562,1.3915634475937,2.19248324553073,-2.77687110536729,-0.800919797937027
24003701202,2018,-0.584387859836562,2.48588554116789,2.14821696803668,-2.73260482787324,0.337668573131213
24003701202,2019,0.432880222215946,2.48588554116789,2.09890270913739,-1.66602248692144,0.386982832030506
24003701202,2020,,,2.08055909269783,,
24003701202,2021,2.05747529916727,,2.09483490511669,-0.037359605949415,
24003701202,2022,2.48588554116789,2.48588554116789,1.81541480607022,0.670470735097677,0.670470735097677
24003701202,2023,2.48588554116789,2.48588554116789,1.84990313219364,0.63598240897425,0.63598240897425
24003701301,2014,1.14711428433783,2.48588554116789,1.98856031980684,-0.841446035469017,0.49732522136105
24003701301,2015,0.998019049459141,2.48588554116789,2.00918916841172,-1.01117011895258,0.476696372756171
24003701301,2016,1.02889763330797,1.79660128865612,1.94732827556409,-0.918430642256119,-0.150726986907963
24003701301,2017,1.55475051396992,1.86621823313844,1.89969482404324,-0.344944310073316,-0.0334765909047943
24003701301,2018,1.35755451203864,1.48047404580187,1.9594676809111,-0.601913168872466,-0.478993635109232
24003701301,2019,1.63312950572501,1.77940502878683,1.93974041759822,-0.306610911873209,-0.160335388811388
24003701301,2020,,2.04801777693946,2.06910505108725,,-0.0210872741477903
24003701301,2021,2.48588554116789,2.12211847550119,2.10554475366466,0.38034078750323,0.0165737218365312
24003701301,2022,2.48588554116789,2.11959231532295,2.19946139192646,0.28642414924143,-0.0798690766035097
24003701301,2023,2.48588554116789,2.22651508436454,2.22244634859087,0.263439192577018,0.00406873577366795
24003701302,2014,1.14711428433783,,1.98856031980684,-0.841446035469017,
24003701302,2015,0.998019049459141,,2.00918916841172,-1.01117011895258,
24003701302,2016,1.02889763330797,1.79660128865612,1.94732827556409,-0.918430642256119,-0.150726986907962
24003701302,2017,1.55475051396992,1.86621823313844,1.89969482404324,-0.344944310073317,-0.0334765909047949
24003701302,2018,1.35755451203864,1.48047404580187,1.9594676809111,-0.601913168872467,-0.478993635109233
24003701302,2019,1.63312950572501,1.77940502878683,1.93974041759822,-0.306610911873209,-0.160335388811388
24003701302,2020,2.13400384271194,1.46338889384339,1.94120240137223,0.192801441339703,-0.477813507528841
24003701302,2021,1.91617313435177,,1.96063577593109,-0.0444626415793237,
24003701302,2022,1.89823025602459,1.84286295034292,1.96928368429608,-0.0710534282714839,-0.126420733953156
24003701302,2023,1.82965106187358,2.48588554116789,1.73401767333428,0.0956333885393004,0.751867867833614
24003701400,2014,1.65103125216848,1.41225115018299,1.94924043126563,-0.298209179097153,-0.53698928108264
24003701400,2015,0.687985573710174,,1.99579278749118,-1.307807213781,
24003701400,2016,0.905934824212888,,2.06051406357212,-1.15457923935924,
24003701400,2017,0.86292578986348,,1.80721304454747,-0.944287254683995,
24003701400,2018,0.872587803862055,,1.79467417349032,-0.922086369628263,
24003701400,2019,0.606729736201956,0.275510192222414,1.75531679224473,-1.14858705604277,-1.47980660002231
24003701400,2020,1.71886182732258,0.277579342127584,1.86117873640293,-0.142316909080348,-1.58359939427535
24003701400,2021,1.76335521148556,0.625213369385556,1.95369218190325,-0.19033697041769,-1.32847881251769
24003701400,2022,1.72097591160415,0.357211596335205,2.16129551035809,-0.44031959875394,-1.80408391402288
24003701400,2023,1.6287916854294,0.115883600048833,2.19896568339579,-0.570173997966392,-2.08308208334695
24003702100,2014,2.03745655185912,2.19212165149548,2.17748120139645,-0.14002464953733,0.0146404500990274
24003702100,2015,0.0990197714331896,2.24579956291006,2.22187588800386,-2.12285611657067,0.023923674906202
24003702100,2016,0.25789274725598,2.33085178218746,2.154580510965,-1.89668776370902,0.176271271222463
24003702100,2017,0.126812057640776,2.48588554116789,2.11119498200663,-1.98438292436585,0.374690559161266
24003702100,2018,0.225839509439806,2.16414210763598,2.05801736330938,-1.83217785386957,0.106124744326594
24003702100,2019,-0.0286982110252423,2.2480129492951,2.11699926695155,-2.14569747797679,0.131013682343544
24003702100,2020,1.1175781947891,2.25523613358937,2.08406557305872,-0.966487378269616,0.171170560530652
24003702100,2021,1.08690831070464,2.08316203898094,2.09907353301486,-1.01216522231021,-0.0159114940339169
24003702100,2022,1.95206901864712,2.24330265540669,2.12485155724504,-0.172782538597918,0.118451098161653
24003702100,2023,2.41370953607529,2.16764892782554,2.12451319953958,0.28919633653571,0.0431357282859608
24003702204,2014,0.628731006473613,1.60945839824504,1.49008524132071,-0.861354234847096,0.11937315692433
24003702204,2015,0.548814937433035,1.32054362315592,1.59299663736789,-1.04418169993485,-0.272453014211971
24003702204,2016,0.60633305620662,1.15908933290839,1.51323344524313,-0.906900389036506,-0.354144112334737
24003702204,2017,0.412370156803817,0.915555026684545,1.5310149030081,-1.11864474620428,-0.615459876323557
24003702204,2018,0.618214868398472,0.998963958029364,1.50373948413146,-0.885524615732992,-0.504775526102101
24003702204,2019,0.653562557756097,1.05617295771415,1.42927366020299,-0.775711102446892,-0.373100702488839
24003702204,2020,0.649479738994262,1.11245347542958,1.19103593160059,-0.541556192606326,-0.0785824561710131
24003702204,2021,0.405432888627093,1.15950359493342,1.24801945156844,-0.842586562941343,-0.0885158566350159
24003702204,2022,-0.0564084062122604,1.03728337133601,1.27702305826153,-1.33343146447379,-0.239739686925521
24003702204,2023,-0.229291670492189,1.0466073587597,1.44879335453924,-1.67808502503143,-0.40218599577954
