tract_geoid,place_type,place_name,place_dist,place_dir
24021751301,hamlet,Ford Road Acres,,
24021751301,hamlet,Mountain Laurel Estates,,
24021751301,hamlet,Wooded Acres,,
24021751301,hamlet,Woods,,
24021751301,hamlet,Lawrence,,
24021751301,hamlet,Brookmere Farms,,
24021751301,hamlet,Parkview Estates,,
24021751301,hamlet,Lost Eden,,
24021751301,hamlet,Catoctin Manor Estates,,
24021751301,locality,Bloomfield,,
24021751301,hamlet,White Flint Springs,,
24021751203,neighbourhood,Shookstown,,
24021751203,neighbourhood,Howards Retreat,,
24021751203,neighbourhood,Overbrook,,
24021751203,neighbourhood,Akers Acres,,
24021751203,neighbourhood,Shookstown Heights,,
24021751203,hamlet,Winter Run,,
24021751203,hamlet,Hilltop Woods,,
24021751203,hamlet,Catoctin Acres,,
24021751203,neighbourhood,Edgewood View,,
24021751203,neighbourhood,Mountain View,,
24021751203,hamlet,Sunny Acres,,
24021751203,neighbourhood,San-Di-Gan,,
24021751203,neighbourhood,Edgewood,,
24021751203,hamlet,Arch Bridge,,
24021751203,hamlet,Irongate,,
24021751203,hamlet,Eastview,,
24021751203,hamlet,Phelps,,
24021751203,neighbourhood,Deer Ridge,,
24021751203,hamlet,Meadowcrest,,
24021751004,neighbourhood,Stoney Creek Farms,,
24021751004,neighbourhood,Hillside Estates,,
24021751004,neighbourhood,Valley View,,
24021751004,locality,Kings Kingdom,,
24021751004,neighbourhood,Wye Creek,,
24021751004,hamlet,Feagaville,,
24021751004,neighbourhood,Make Shift Estates,,
24021751004,neighbourhood,Ballenger Creek Meadows,,
24021751004,neighbourhood,Brentwood,,
24021752603,hamlet,Round Hill,,
24021752603,hamlet,Springdale,,
24021752603,hamlet,Ridge Crest Estates,,
24021752603,hamlet,Edinburg Forest,,
24021752603,hamlet,Deer Spring Farms,,
24021752603,hamlet,Edgemont,,
24021752603,hamlet,Glenbrook Estates,,
24021752501,village,Burkittsville,,
24021752501,hamlet,Woodcrest,,
24021752501,hamlet,Waynes Way,,
24021752501,hamlet,Locust Valley,,
24021752501,hamlet,Bellemonte,,
24021752501,locality,Virts,,
24021752501,hamlet,Brandenburg Estates,,
24021752501,hamlet,Morningside,,
24021752501,hamlet,Lewis Mill,,
24021752501,hamlet,Beachley,,
24021752501,hamlet,Corner House,,
24021752501,village,Jefferson,,
24021752501,hamlet,Broad Run Acres,,
24021752501,hamlet,Stockman Estates,,
24021752501,hamlet,Concord,,
24021752501,hamlet,Glenoble,,
24021752501,hamlet,Lamb Knolls,,
24021752501,hamlet,Broad Run,,
24021752501,hamlet,North Jefferson,,
24021752501,hamlet,Jefferson Oaks,,
24021752501,hamlet,Arnoldtown,,
24021752501,hamlet,Minnick,,
24021752602,hamlet,Middletown Valley Estates,,
24021752602,neighbourhood,Winterborn,,
24021752602,neighbourhood,Goldmine Estates,,
24021752602,hamlet,Clifton,,
24021752602,neighbourhood,Roberts Retreat,,
24021752602,neighbourhood,Skyline Gardens,,
24021752602,neighbourhood,Coblentz Heights,,
24021752602,neighbourhood,Somerset,,
24021752602,neighbourhood,Skyline Estates,,
24021752602,neighbourhood,Valley Heights,,
24021752602,neighbourhood,Strawleigh,,
24021752602,hamlet,Homers Delight,,
24021752602,locality,Stockman,,
24021752602,neighbourhood,Mount Zion Knolls,,
24021752602,neighbourhood,Braddock Estates,,
24021752602,hamlet,Kelview,,
24021752602,hamlet,Glenridge Estates,,
24021752602,locality,Horman,,
24021752602,village,Braddock Heights,,
24021752602,neighbourhood,Sunset View,,
24021752602,hamlet,Colebrook,,
24021752602,neighbourhood,Mount Zion Estates,,
24021752602,hamlet,Holter,,
24021752601,hamlet,Cowell,,
24021752601,hamlet,Foxfield Middletown,,
24021752601,village,Middletown,,
24021752601,hamlet,Middletown South,,
24021752601,hamlet,Valley View Estates,,
