addressLatitude,addressLongitude,creditUnionName,creditUnionSiteName,city,cityPhysical,country,isMainOffice,isMdi,bilingual_Services,credit_Builder,financial_Counseling,first_Time_Homebuyer_Program,inSchoolBranch,low_cost_wire_transfers,no_Cost_Tax_Preparation,no_Cost_Share_Drafts,palS_I,palS_II,siteFunctions,siteName,state,url,zipcode,street
40.00873,-75.176496,AMERICAN HERITAGE,Fox Street (Shoprite),Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,;ATM;;,,PA,http://www.americanheritagecu.org,19129,2800 Fox Street
40.007694,-75.173015,AMERICAN HERITAGE,Hunting Park,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.americanheritagecu.org,19129-1321,2620 W Hunting Park Ave
40.002356,-75.210414,NEW LIFE,New Life Credit Union - Branch,Philadelphia,,United States,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Member Services;;;,,PA,"",19131,3955 Conshohocken Ave
39.996868,-75.114514,EVERENCE,Philadelphia,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.everence.com,19134,861 E Allegheny Ave
39.981015,-75.129351,PHILADELPHIA,2136 E. Dauphin Street,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pfcu.com,19125-2034,2136 E Dauphin St
39.980821,-75.156876,PHILADELPHIA,Temple Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.pfcu.com,19122-6003,1801 N Broad St Howard Gittis Student Center
39.980034,-75.143023,TRUMARK FINANCIAL,ENP,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;Drive Thru;Shared Service Center,,PA,http://www.trumarkonline.org,19122-2103,1900 N 5th St
39.980925,-75.176708,WAYLAND TEMPLE BAPTIST,Main,Philadelphia,,United States,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,"",19121-2815,2500 Cecil B Moore Ave
39.990156,-75.232943,PINN MEMORIAL,Pinn Memorial FCU,Philadelphia,,United States,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Member Services;;;,,PA,"",19131-2321,2251 N 54th St
39.969926,-75.175312,UKRAINIAN SELFRELIANCE,Fairmount Branch,Philadelphia,,United States,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;;;,,PA,http://www.ukrfcu.com,19130,2307 Brown St
39.967665,-75.176501,FREEDOM,Fairmount Branch,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.freedomcu.org,19130-2544,2333 Fairmount Ave
39.978511,-75.225102,AMERICAN HERITAGE,Parkside (Shoprite),Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Member Services;ATM;;,,PA,http://www.americanheritagecu.org,19131,1575 N 52nd St
39.959736,-75.144444,DEMOCRACY,Philadelphia,Philadelphia,,United States,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Member Services;ATM;;,,PA,http://www.democracyfcu.org,19123,300 Spring Garden St
39.959736,-75.144444,AMERICAN HERITAGE,Spring Garden,Philadelphia,,United States,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,;ATM;;,,PA,http://www.americanheritagecu.org,19123-2924,300 Spring Garden St
39.981726,-75.247195,NEW LIFE,New Life Credit Union - Main,Philadelphia,,United States,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,;;;,,PA,"",19151-3208,1152 N 63rd St
